,overall,reviewText,summary,sentiment
62,2.0,"Not going to write a long review, even thought this unit deserves one. I've driven well over 1-mil miles and done most of my own routing so I pretty know whats the fastest and shortest. Have been using a basic garmin for the past three years and with ANY Gps unit they'll ALL get you in trouble if you let them. I was really excited about this unit, due to the size and the features. Allot of great grafics and on screen info thats usefull. But the most basic item that it was lacking was the gps tracking. I gave this unit allot of leadway on its mistakes due to the fact that it had allot of cool stuff that it did, but its ability to track you and route you was not even close to what the basic garmin could due. Its like the prossesor that they installed in the TND 700 was 10 years old. Example if I needed to make a simple route change I.E. in town down to the next street due to the fact that I couldn't make the turn or the street was blocked off, it would take the TND 700 upwards of 45 seconds to a minute and a half to reroute me. Here I'm sitting at a stop light waiting for directions and waiting that long with cars on my backside didn't make me happy. This is a problem that happened evertime you had to reroute, weather it was a simple street change or a major highway change. Also from the time you turned the unit on it would take twice as long to boot itself up. At least a dozen times with in a week it put me on the wrong roads and when I made a wrong turn it got it self lost....I.E. take left on xyz street, and it was some ones drive way. Or turn left in 800 yards and the turn was less than 10 feet away. You might think in a conjested city situation I might get a little mixed up, but this is out in the country. Twice it put me under 12'6"" bridges when I'm 13'6"". Of course I made sure all my truck setting where they were supposed to be. I also updated the OS version,via Rand McNally. All in all I expected alot out of this unit and got a unit that should of been field tested with some people that drive allot. It just had to many route mistakes. Going back to the basic garmin. This isn't just my complaints, I have three friends that bought the same unit and have the same complaints. All of us returned the units.","Great grafics, POOR GPS",negative
63,5.0,Daughter thought it was a good read.,Five Stars,positive
64,5.0,"Roland Smith's account, one of life for a teenage English/American boy in Burma, is marketed as a story for youth. It is indeed an outstanding book for young readers; however, this tale is equally interesting for all ages. Just because the main character is a 14 year-old boy, that doesn't diminish the intrigue of this tale.

At 66 and having grown up listening to World War II tales of Burma from my father, I found this book particularly captivating. My father talked about the elephants, the native Kachin, Chindit, Naga, and Burmese peoples, the Imperial Forces, native built bashas, and the jungle and its wildlife. At 90, Dad also found the book quite riveting.

This account has outstanding character development, scene description, and intrigue. Highly recommended for all ages, 10-90! Elephant Run",Great read for all ages,positive
65,5.0,"Roland Smith's account, one of life for a teenage English/American boy in Burma, is marketed as a story for youth. It is indeed an outstanding book for young readers; however, this tale is equally interesting for all ages. Just because the main character is a 14 year-old boy, that doesn't diminish the intrigue of this tale.

At 66 and having grown up listening to World War II tales of Burma from my father, I found this book particularly captivating. My father talked about the elephants, the native Kachin, Chindit, Naga, and Burmese peoples, the Imperial Forces, native built bashas, and the jungle and its wildlife. At 90, Dad also found the book quite riveting.

This account has outstanding character development, scene description, and intrigue. Highly recommended for all ages, 10-90! Elephant Run",A comforting read for all ages!,positive
66,5.0,"Roland Smith's account, one of life for a teenage English/American boy in Burma, is marketed as a story for youth. It is indeed an outstanding book for young readers; however, this tale is equally interesting for all ages. Just because the main character is a 14 year-old boy, that doesn't diminish the intrigue of this tale.

At 66 and having grown up listening to World War II tales of Burma from my father, I found this book particularly captivating. My father talked about the elephants, the native Kachin, Chindit, Naga, and Burmese peoples, the Imperial Forces, native built bashas, and the jungle and its wildlife. At 90, Dad also found the book quite riveting.

This account has outstanding character development, scene description, and intrigue. Highly recommended for all ages, 10-90! Elephant Run",Great read for all ages,positive
67,5.0,"Roland Smith's account, one of life for a teenage English/American boy in Burma, is marketed as a story for youth. It is indeed an outstanding book for young readers; however, this tale is equally interesting for all ages. Just because the main character is a 14 year-old boy, that doesn't diminish the intrigue of this tale.

At 66 and having grown up listening to World War II tales of Burma from my father, I found this book particularly captivating. My father talked about the elephants, the native Kachin, Chindit, Naga, and Burmese peoples, the Imperial Forces, native built bashas, and the jungle and its wildlife. At 90, Dad also found the book quite riveting.

This account has outstanding character development, scene description, and intrigue. Highly recommended for all ages, 10-90! Elephant Run",Exciting read for all ages,positive
68,5.0,great book,Five Stars,positive
69,5.0,"I am using this with our very high 4th grade students and they are loving the book.  I found a resource online that is helping them analyze the characters/setting/themes/etc. and learn about foreshadowing and flashback. They are enjoying the story because it isn't just another WWII story about the Nazis.  Instead, it is WWII when Japan invated Burma.",4th grade literature study,positive
70,4.0,"Roland Smith's account, one of life for a teenage English/American boy in Burma, is marketed as a story for youth.  It is indeed an outstanding book for young readers; however, this tale is equally interesting for all ages.  Just because the main character is a 14 year-old boy, that doesn't diminish the intrigue of this tale.

At 66 and having grown up listening to World War II tales of Burma from my father, I found this book particularly captivating.  My father talked about the elephants, the native Kachin, Chindit, Naga, and Burmese peoples, the Imperial Forces, native built bashas, and the jungle and its wildlife.  At 90, Dad also found the book quite riveting.

This account has outstanding character development, scene description, and intrigue.  Highly recommended for all ages, 10-90!&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Elephant-Run/dp/0545105668/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Elephant Run</a>

Chris Gregory, author, Buckshot Pie, [...] Semper Pi Publishing, semperpi@outlook.com, also as Christopher E. Gregory, Ezine Articles author, EzineArticles.com.  Buckshot Pie is another great book about World War II; 5 brothers, one of which was stationed in Burma - 5 brothers, their early years of character development, and their WW II contributions.  Available here at Amazon;&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Buckshot-Pie-a-Family-s-Struggle-Through-Homesteading-the-Great-Depression-and-World-War-II/dp/098952941X/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Buckshot Pie, a Family's Struggle Through Homesteading, the Great Depression, and World War II</a>",Excellent WW II history in the C-B-I Theatre,positive
71,5.0,"I bought this for a school assignment for my grandchild who is not that excited about reading. Well, she couldn't put it down. I spoke to the teacher and she said all the kids are really enjoying it. It's a great book for a tween boy or girl.",wonderful book,positive
72,5.0,"I think we read this with our son in 3rd grade and again in 5th.  For a boy it is wonderful, with WWII history, an exotic locale, adventure, danger, rampaging elephants and more.  A wonderful and very accessible coming of age story.  We've read 3 or 4 of Smiths books -- a great ""go to"" author for kids in the upper elementary age group.","so good, we've read it twice",positive
73,4.0,"I highly recommend Elephant Run, by Roland Smith. Elephant Run is set during World War II in Burma, which is located in Southern Asia. The main character is 14-year-old Nick Freestone who lived in London, England. After Nick's parents' apartment was destroyed during the German bombing of London, Nick's mother and father both decided it would be safest to send Nick to Burma to stay with his dad on a plantation to get away from the bombing.

After a few days in Burma, the Japanese forces attacked their plantation, taking Nick's father as a prisoner of war, leaving Nick to stay with the rest of the Burmese who were given the choir of building an aircraft hanger for the Japanese. Nick finds a way to escape with the help of a Burmese monk of high importance. The monk's niece joined them on their escape. Once they had left the plantation without being spotted, they hitched a ride on a couple of elephants and rode them over to the prison site where Nick's dad was being held.

Thanks to the help of a Japanese friend, Nick's dad was able to escape, too. While all four of them were escaping, two guards who were patrolling the prison gates spotted them. The elephant that had assisted Nick on his journey to the prison camp saw that the guards were wearing tiger pelts around their necks. The elephants, thinking that they were a threat because of the tiger pelts draped around their necks, charged the guards and killed them. Nick, his dad, and the monk's niece all were able to find refuge from the war in Australia.

I thought that Elephant Run was a great book.  It was very suspenseful and it held my attention all the way through. I think that anyone would enjoy this book, especially people who are interested in learning about World War II.",A great and suspenseful novel,positive
74,5.0,I enjoyed this book quite a bit.  It was pretty exciting and a fun read.,Good Book,positive
75,2.0,"I am seriously wondering if I read the same books as everyone else.  I began reading with high hopes for two great thrillers based on other reviews, but I was sorely disappointed.  First of all, the sentence structure was choppy, with many sounding as of they were written by my eight year old.  Secondly, in an ill-conceived effort at humor, the protagonist comes off like a self-righteous jerk--and a sexist one at that.  Third, there were so many spelling and grammatical errors in the kindle edition (""accept"" instead of ""except""--twice, by the way...) that I wanted to take a red pen and edit the book myself!  Both books made for an interesting afternoon read, but the second book's big ""shocker"" I had pegged as soon as the character was introduced!  Overall, I was not impressed, but I will read the third book just to see where the story goes.",did i read the same books?!,negative
76,4.0,Nice mix of mystery and humor.  Good book to read on vacation.  Characters (and they really are) are interestingly developed.,Fun summer read,positive
77,5.0,"Never met a book by J. R. Rain I did not Love!
The uber cocky, uber endearing Knighthorse
Is someone u want to know and befriend. The whole side story with him and ""God""  is a surprisingly funny,  thought provoking ongoing conversation,  that I hope continues.  Great read!!",Wonderful!!,positive
78,5.0,I loved this book but then again I love all the books I have read so far by J. R. Rain.,love it,positive
79,5.0,I love these Jim Knighthorse. It was a good deal for 2 great books. I worthwhile read for all readers.,Great book,positive
80,3.0,A good read! I would read it again if I had time. A lot of adventure and excitement. Great read for on the train.,A good read,positive
81,3.0,"Writers who crank out as many books as Mr. Rain have always amazed me.  I am also amazed that mostly women read his books.  Nothing wrong with reading about blood suckers and ex-football players right guys?  Okay, I digress, back to the Knighthorse book review.  I enjoy sarcasm.  I employ it often and well.  Reading a book involving mayhem, murder and sarcasm is quite enjoyable.  I have purchased the 3-pack of Knighthorse and found a recurring theme in each book.  If the next book also has the sameness, I will be disappointed. I did enjoy the three pack.","Writing about 6,782 words a day equals....",positive
82,4.0,"These two books have two very well told stories without killing you with useless details or scenes that don't really contribute.  Both books were fun to read although I enjoyed Dark Horse the most.  The author has a knack for the ""one line zingers"" in each story and the charachters have cockiness about them that is almost comical, but at the same time, that adds to the fun of reading the stories.  Well Done!!",Fun & Lighthearted,positive
83,5.0,"I received my purchase in perfect condition, The packaging was in great shape, and the product is brand new. You can tell that it is new because it is a bit stiff when you open it, as is any new book. Very happy with this product and would definitely buy again at this price.",Excellent product.,positive
84,4.0,It's great,Four Stars,positive
85,5.0,"We're rough on cables, often breaking them at the connection after a few months. This one eliminates that as a possibility, and a year later, we still haven't broken it!",Best Nook cable yet,positive
86,5.0,Good condition,Five Stars,positive
87,5.0,"After purchasing cheap cords from another website, I was a little scared to purchase. So glad I did though!  It works great and the design will keep the cord from breaking so easily. Price is still kind of high for a power cord but it is worth it.",Good Quality Cord,positive
88,4.0,Bought for someone else.,Four Stars,positive
89,5.0,Excellent cover. Very fancy and looks great on my Nook,Five Stars,positive
90,3.0,Very quality build. Exterior point of view look great but slightly to thick,Exterior point of view look great but slightly to,positive
91,5.0,This is a great charging cable for the Nook.  It is way better than the one that came with the original Nook Color.  The only downside is you cannot use it on the computer to add books to your Nook.  This was not an issue for me because I have other cables for that.,Better than original charger!,positive
92,5.0,Should of been given to Nook customers who had to replace their cord. This one works great.,Works,positive
93,5.0,Finally we can charge the nook again!,Five Stars,positive
94,5.0,Great deal. The same case that was 40.00 at the BN store. Get this.,Best deal.,positive
95,5.0,very nice item,Five Stars,positive
96,5.0,"Since B&N no longer carry the Nook Color, or the cases... this one is actually better and cheaper than what I had originally bought from B&N.","If you need one, get this one",positive
97,5.0,works great with nook color,Five Stars,positive
98,5.0,"The 90 degree connector is a bonus that allows her to read while it is charging without the older style straight connector sticking down.  This cable does everything including charging, and data transfer, works just as well as the original that came with her Nook Color, but better.",Works great on my Wife's older model Nook Color.,positive
99,5.0,Great solution to original power cord.  New design gives the cord a better position so that it won't twist and wear out.  Seems to be well made and has stood up to daily use without an issue.,Good Product,positive
